[0,                                                params  mean_test_score  rank_test_score
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.549602               21
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.558321               17
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.532422               29
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.547444               25
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.559219                9
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.559994                5
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.559164               13
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.564888                1
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.549602               21
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.558321               17
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.532422               29
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.547444               25
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.559219                9
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.559994                5
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.559164               13
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.564888                1
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.549602               21
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.558321               17
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.532422               29
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.547444               25, 8,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.536140               13
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.535360               17
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.550605                5
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.552410                1
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.528653               25
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.536417                9
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.534290               21
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.525608               29
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.536140               13
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.535360               17
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.550605                5
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.552410                1
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.528653               25
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.536417                9
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.534290               21
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.525608               29
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.536140               13
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.535360               17
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.550605                5
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.552410                1
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.528653               25
