[0,                                                params  mean_test_score  rank_test_score
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.568752                1
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.559633               17
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.565790                5
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.542973               25
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.563614               13, 11,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.549385               17
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.551087               13
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.567656                1
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.560401                9
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.546670               25
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.561238                5
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.543543               29
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.548279               21
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.549385               17
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.551087               13
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.567656                1
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.560401                9
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.546670               25
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.561238                5
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.543543               29
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.547343               24
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.549385               17
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.551087               13
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.567656                1
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.560401                9
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.546670               25
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.561238                5
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.543543               29
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.548279               21
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.549385               17
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.551087               13
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.567656                1
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.560401                9
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.546670               25
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.561238                5
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.543543               29
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.548279               21, 12,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.571506                5
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.572265                1
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.551741               21
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.553275               17
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.533738               29
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.548371               25
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.559973               13
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.565678                9
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.571506                5
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.572265                1
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.551741               21
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.553275               17
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.533738               29
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.548371               25
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.559973               13
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.565678                9
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.571506                5
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.572265                1
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.551741               21
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.553275               17
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.533738               29
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.548371               25
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.559973               13
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.565678                9
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.571506                5
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.572265                1
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.551741               21
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.553275               17
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.533738               29
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.548371               25
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.559973               13
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.565678                9, 13,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.552861                9
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.546983               17
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.560625                1
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.550736               13
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.538166               29
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.545437               21
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.543848               25
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.553156                5
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.552861                9
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.546983               17
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.560625                1
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.550736               13
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.538166               29
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.545437               21
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.543848               25
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.553156                5
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.552861                9
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.546983               17
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.560625                1
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.550736               13
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.538166               29
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.545437               21
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.543848               25
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.553156                5
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.552861                9
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.546983               17
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.560625                1
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.550736               13
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.538166               29
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.545437               21
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.543848               25
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.553156                5, 14,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.551160               13
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.547886               21
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.548371               17
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.552494                9
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.543330               29
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.545335               25
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.554702                1
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.554222                5
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.551160               13
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.547886               21
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.548371               17
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.552494                9
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.543330               29
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.545335               25
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.554702                1
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.554222                5
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.551160               13
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.547886               21
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.548371               17
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.552494                9
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.543330               29
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.545335               25
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.554702                1
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.554222                5
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.551160               13
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.547886               21
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.548371               17
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.552494                9
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.543330               29
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.545335               25
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.554702                1
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.554222                5, 15,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.562352               17
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.561532               21
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.575732                9
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.578305                5
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.549287               29
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.560503               25
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.570448               13
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.583521                1
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.562352               17
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.561532               21
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.575732                9
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.578305                5
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.549287               29
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.560503               25
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.570448               13
